category,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,is_premium,source,review_status
Mathématiques,BEPC,Quelle est l’aire d’un rectangle de longueur 16 cm et de largeur 13 cm ?,224 cm²,29 cm²,58 cm²,208 cm²,3,L’aire d’un rectangle est longueur × largeur : 16 × 13 = 208 cm².,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est l’aire d’un rectangle de longueur 40 cm et de largeur 15 cm ?,110 cm²,55 cm²,600 cm²,640 cm²,2,L’aire d’un rectangle est longueur × largeur : 40 × 15 = 600 cm².,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 4 ?,15,8,16,20,2,Le carré de 4 est 4 × 4 = 16.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 5 ?,10,25,24,30,1,Le carré de 5 est 5 × 5 = 25.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 6 ?,42,36,35,12,1,Le carré de 6 est 6 × 6 = 36.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 7 ?,56,49,14,48,1,Le carré de 7 est 7 × 7 = 49.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 8 ?,64,72,16,63,0,Le carré de 8 est 8 × 8 = 64.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 9 ?,90,81,18,80,1,Le carré de 9 est 9 × 9 = 81.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 10 ?,20,110,99,100,3,Le carré de 10 est 10 × 10 = 100.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 11 ?,132,22,120,121,3,Le carré de 11 est 11 × 11 = 121.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 12 ?,156,24,143,144,3,Le carré de 12 est 12 × 12 = 144.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 13 ?,168,182,169,26,2,Le carré de 13 est 13 × 13 = 169.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 14 ?,195,196,210,28,1,Le carré de 14 est 14 × 14 = 196.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 15 ?,225,240,224,30,0,Le carré de 15 est 15 × 15 = 225.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 16 ?,272,256,32,255,1,Le carré de 16 est 16 × 16 = 256.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 18 ?,324,36,323,342,0,Le carré de 18 est 18 × 18 = 324.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 20 ?,40,400,420,399,1,Le carré de 20 est 20 × 20 = 400.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le carré de 25 ?,624,50,650,625,3,Le carré de 25 est 25 × 25 = 625.,true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,"Complète la suite : 2, 4, 8, 16, 32, ...",32,34,64,66,2,Chaque terme est multiplié par 2. Le terme suivant est 32 × 2 = 64.,true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,"Complète la suite : 3, 6, 12, 24, 48, ...",48,96,98,50,1,Chaque terme est multiplié par 2. Le terme suivant est 48 × 2 = 96.,true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,"Complète la suite : 4, 8, 16, 32, 64, ...",128,130,66,64,0,Chaque terme est multiplié par 2. Le terme suivant est 64 × 2 = 128.,true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,"Complète la suite : 2, 6, 18, 54, 162, ...",162,489,486,165,2,Chaque terme est multiplié par 3. Le terme suivant est 162 × 3 = 486.,true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,"Complète la suite : 5, 10, 20, 40, 80, ...",82,160,162,80,1,Chaque terme est multiplié par 2. Le terme suivant est 80 × 2 = 160.,true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,"Complète la suite : 3, 9, 27, 81, 243, ...",732,246,243,729,3,Chaque terme est multiplié par 3. Le terme suivant est 243 × 3 = 729.,true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,"Complète la suite : 6, 12, 24, 48, 96, ...",192,96,98,194,0,Chaque terme est multiplié par 2. Le terme suivant est 96 × 2 = 192.,true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,"Complète la suite : 7, 14, 28, 56, 112, ...",226,224,114,112,1,Chaque terme est multiplié par 2. Le terme suivant est 112 × 2 = 224.,true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,"Complète la suite : 4, 12, 36, 108, 324, ...",327,324,972,975,2,Chaque terme est multiplié par 3. Le terme suivant est 324 × 3 = 972.,true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,"Complète la suite : 8, 16, 32, 64, 128, ...",130,256,258,128,1,Chaque terme est multiplié par 2. Le terme suivant est 128 × 2 = 256.,true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,Un trajet commence à 8h15 et se termine à 10h40. Quelle est sa durée ?,1h25,145 min,2h35,2h25,3,"On convertit en minutes : arrivée 640, départ 495. Différence = 145 minutes, soit 2h25.",true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,Un trajet commence à 7h30 et se termine à 9h05. Quelle est sa durée ?,0h35,95 min,1h35,1h45,2,"On convertit en minutes : arrivée 545, départ 450. Différence = 95 minutes, soit 1h35.",true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,Un trajet commence à 13h45 et se termine à 16h20. Quelle est sa durée ?,1h35,2h35,155 min,2h45,1,"On convertit en minutes : arrivée 980, départ 825. Différence = 155 minutes, soit 2h35.",true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,Un trajet commence à 6h50 et se termine à 8h10. Quelle est sa durée ?,80 min,1h20,1h30,0h20,1,"On convertit en minutes : arrivée 490, départ 410. Différence = 80 minutes, soit 1h20.",true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,Un trajet commence à 14h05 et se termine à 17h35. Quelle est sa durée ?,3h30,210 min,2h30,3h40,0,"On convertit en minutes : arrivée 1055, départ 845. Différence = 210 minutes, soit 3h30.",true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,Un trajet commence à 9h55 et se termine à 12h25. Quelle est sa durée ?,150 min,2h30,1h30,2h40,1,"On convertit en minutes : arrivée 745, départ 595. Différence = 150 minutes, soit 2h30.",true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,Un trajet commence à 10h00 et se termine à 11h45. Quelle est sa durée ?,1h55,1h45,105 min,0h45,1,"On convertit en minutes : arrivée 705, départ 600. Différence = 105 minutes, soit 1h45.",true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,Un trajet commence à 15h20 et se termine à 18h00. Quelle est sa durée ?,2h50,1h40,160 min,2h40,3,"On convertit en minutes : arrivée 1080, départ 920. Différence = 160 minutes, soit 2h40.",true,Règle scolaire vérifiée mécaniquement,validated
Psychotechnique,Concours,Quel est l’intrus parmi ces mots ?,carotte,orange,banane,mangue,0,L’intrus est « carotte » car les autres appartiennent à la catégorie : fruits.,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,Quel est le pluriel correct de « cheval » ?,chevaus,chevaux,chevales,chevals,1,"Le nom cheval fait son pluriel en -aux : un cheval, des chevaux.",true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,"Dans la phrase « Il court rapidement », le mot « rapidement » est :",un adjectif,un adverbe,un nom,un déterminant,1,Rapidement précise la manière de courir ; c’est donc un adverbe.,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,Quel est le passé simple de « il fait » ?,il faisait,il fit,il fera,il a fait,1,"Au passé simple, le verbe faire à la 3e personne du singulier donne : il fit.",true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,Quel mot est un synonyme de « effrayé » ?,apeuré,calme,rapide,joyeux,0,"Apeuré signifie saisi par la peur, comme effrayé.",true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,"Dans « Les enfants jouent », le sujet est :",Les enfants,Les,enfants jouent,jouent,0,"Le sujet indique qui fait l’action. Ici, ce sont les enfants qui jouent.",true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,Quelle phrase utilise correctement « à » ?,Je vais à l’école.,Elle à un livre.,On à fini.,Il a à mangé.,0,"« à » avec accent est une préposition ; dans « Je vais à l’école », il est correctement employé.",true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,Quelle phrase utilise correctement « a » ?,Il à un cahier.,A la maison.,Je vais a école.,Il a un cahier.,3,« a » sans accent est le verbe avoir au présent : il a un cahier.,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,Quel est le féminin de « actif » ?,activa,actifve,actife,active,3,L’adjectif actif devient active au féminin.,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,Quel est le contraire de « courageux » ?,brave,peureux,audacieux,vaillant,1,Peureux est le contraire de courageux.,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,Quel type de phrase se termine généralement par un point d’interrogation ?,déclarative,exclamative,interrogative,impérative,2,Une phrase interrogative pose une question et se termine généralement par un point d’interrogation.,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,"Au présent de l’indicatif, complète : je ___ (parler).",parleent,parler,parles,parle,3,La forme correcte du verbe parler avec « je » au présent est « parle ».,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,"Au présent de l’indicatif, complète : nous ___ (parler).",parler,parlons,parlonss,parlonsent,1,La forme correcte du verbe parler avec « nous » au présent est « parlons ».,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,"Au présent de l’indicatif, complète : je ___ (finir).",finiss,finisent,finir,finis,3,La forme correcte du verbe finir avec « je » au présent est « finis ».,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,"Au présent de l’indicatif, complète : nous ___ (finir).",finissons,finissonss,finissonsent,finir,0,La forme correcte du verbe finir avec « nous » au présent est « finissons ».,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,"Au présent de l’indicatif, complète : je ___ (prendre).",prendss,prends,prendsent,prendre,1,La forme correcte du verbe prendre avec « je » au présent est « prends ».,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,"Au présent de l’indicatif, complète : nous ___ (prendre).",prenonsent,prenonss,prendre,prenons,3,La forme correcte du verbe prendre avec « nous » au présent est « prenons ».,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,"Au présent de l’indicatif, complète : j'___ (aller).",vais,vaiss,vaisent,aller,0,La forme correcte du verbe aller avec « je » au présent est « vais ».,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,"Au présent de l’indicatif, complète : nous ___ (aller).",allonss,aller,allonsent,allons,3,La forme correcte du verbe aller avec « nous » au présent est « allons ».,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,"Au présent de l’indicatif, complète : j'___ (être).",suis,suiss,être,suisent,0,La forme correcte du verbe être avec « je » au présent est « suis ».,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,"Au présent de l’indicatif, complète : nous ___ (être).",sommess,sommesent,être,sommes,3,La forme correcte du verbe être avec « nous » au présent est « sommes ».,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,"Au présent de l’indicatif, complète : j'___ (avoir).",ais,ai,aient,avoir,1,La forme correcte du verbe avoir avec « je » au présent est « ai ».,true,Règle scolaire vérifiée mécaniquement,validated
Français,BEPC,"Au présent de l’indicatif, complète : nous ___ (avoir).",avoir,avonsent,avonss,avons,3,La forme correcte du verbe avoir avec « nous » au présent est « avons ».,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,La fraction 1/2 correspond à quel pourcentage ?,20 %,50 %,40 %,60 %,1,"On divise 1 par 2, puis on multiplie par 100 : 1/2 × 100 = 50 %.",true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,La fraction 1/3 correspond à quel pourcentage ?,30 %,23.3333 %,33.3333 %,43.3333 %,2,"On divise 1 par 3, puis on multiplie par 100 : 1/3 × 100 = 33.3333 %.",true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,La fraction 2/3 correspond à quel pourcentage ?,15 %,56.6667 %,76.6667 %,66.6667 %,3,"On divise 2 par 3, puis on multiplie par 100 : 2/3 × 100 = 66.6667 %.",true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,La fraction 3/4 correspond à quel pourcentage ?,13.3333 %,65 %,85 %,75 %,3,"On divise 3 par 4, puis on multiplie par 100 : 3/4 × 100 = 75 %.",true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,La fraction 2/5 correspond à quel pourcentage ?,30 %,40 %,50 %,25 %,1,"On divise 2 par 5, puis on multiplie par 100 : 2/5 × 100 = 40 %.",true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,La fraction 3/5 correspond à quel pourcentage ?,70 %,60 %,50 %,16.6667 %,1,"On divise 3 par 5, puis on multiplie par 100 : 3/5 × 100 = 60 %.",true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,La fraction 4/5 correspond à quel pourcentage ?,12.5 %,70 %,80 %,90 %,2,"On divise 4 par 5, puis on multiplie par 100 : 4/5 × 100 = 80 %.",true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,La fraction 5/8 correspond à quel pourcentage ?,62.5 %,16 %,72.5 %,52.5 %,0,"On divise 5 par 8, puis on multiplie par 100 : 5/8 × 100 = 62.5 %.",true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,La fraction 3/10 correspond à quel pourcentage ?,30 %,20 %,33.3333 %,40 %,0,"On divise 3 par 10, puis on multiplie par 100 : 3/10 × 100 = 30 %.",true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,La fraction 7/10 correspond à quel pourcentage ?,70 %,14.2857 %,80 %,60 %,0,"On divise 7 par 10, puis on multiplie par 100 : 7/10 × 100 = 70 %.",true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Quelle est la moyenne de 10, 12 et 14 ?",13,36,11,12,3,La moyenne est la somme divisée par 3 : (10 + 12 + 14) / 3 = 12.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Quelle est la moyenne de 8, 15 et 19 ?",42,14,13,15,1,La moyenne est la somme divisée par 3 : (8 + 15 + 19) / 3 = 14.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Quelle est la moyenne de 20, 25 et 30 ?",75,25,26,24,1,La moyenne est la somme divisée par 3 : (20 + 25 + 30) / 3 = 25.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Quelle est la moyenne de 6, 9 et 12 ?",8,27,10,9,3,La moyenne est la somme divisée par 3 : (6 + 9 + 12) / 3 = 9.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Quelle est la moyenne de 11, 13 et 18 ?",13,42,15,14,3,La moyenne est la somme divisée par 3 : (11 + 13 + 18) / 3 = 14.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Quelle est la moyenne de 7, 10 et 13 ?",9,30,11,10,3,La moyenne est la somme divisée par 3 : (7 + 10 + 13) / 3 = 10.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Quelle est la moyenne de 14, 16 et 22 ?",16.3333,52,17.3333,18.3333,2,La moyenne est la somme divisée par 3 : (14 + 16 + 22) / 3 = 17.3333.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Quelle est la moyenne de 18, 20 et 28 ?",66,23,22,21,2,La moyenne est la somme divisée par 3 : (18 + 20 + 28) / 3 = 22.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Quelle est la moyenne de 5, 12 et 16 ?",11,33,12,10,0,La moyenne est la somme divisée par 3 : (5 + 12 + 16) / 3 = 11.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Quelle est la moyenne de 9, 21 et 30 ?",21,20,19,60,1,La moyenne est la somme divisée par 3 : (9 + 21 + 30) / 3 = 20.,true,Règle scolaire vérifiée mécaniquement,validated
SVT,BEPC,Quel est le rôle principal des globules rouges ?,Fabriquer l’urine,Produire la bile,Digérer les aliments,Transporter le dioxygène,3,Les globules rouges transportent principalement le dioxygène grâce à l’hémoglobine.,true,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
SVT,BEPC,Quel organe produit la bile ?,Le cœur,Le poumon,Le rein,Le foie,3,"Le foie produit la bile, qui aide à la digestion des graisses.",true,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
SVT,BEPC,Quelle partie de la plante absorbe surtout l’eau et les sels minéraux ?,Les feuilles uniquement,Les fleurs,Les fruits,Les racines,3,Les racines absorbent l’eau et les sels minéraux présents dans le sol.,true,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
SVT,BEPC,Comment appelle-t-on l’unité de base du vivant ?,Le tissu,La cellule,Le système,L’organe,1,La cellule est considérée comme l’unité structurale et fonctionnelle de base des êtres vivants.,true,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
SVT,BEPC,Quel est le rôle principal des reins ?,Produire la bile,Absorber l’oxygène,Filtrer le sang et produire l’urine,Pomper le sang,2,Les reins filtrent le sang et éliminent des déchets sous forme d’urine.,true,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
Histoire-Géo,BEPC,"Quel continent est traversé par l’équateur, le tropique du Cancer et le tropique du Capricorne ?",L’Océanie,L’Antarctique,L’Afrique,L’Europe,2,L’Afrique est traversée par ces trois lignes imaginaires importantes.,false,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
Histoire-Géo,BEPC,Quel océan borde l’Afrique de l’Ouest ?,L’océan Arctique,L’océan Indien,L’océan Atlantique,L’océan Pacifique,2,L’Afrique de l’Ouest s’ouvre sur l’océan Atlantique.,false,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
Culture générale,BEPC,Combien de continents compte-t-on généralement dans le modèle scolaire courant en Afrique francophone ?,5,6,8,4,1,"Dans de nombreux programmes francophones, on retient six continents : Afrique, Amérique, Antarctique, Asie, Europe et Océanie.",false,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
Culture générale,BEPC,Quel est le siège de l’Union africaine ?,Addis-Abeba,Dakar,Nairobi,Abuja,0,"Le siège de l’Union africaine se trouve à Addis-Abeba, en Éthiopie.",false,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
Culture générale,BEPC,Quelle monnaie est utilisée au Burkina Faso ?,Le cedi,Le franc guinéen,Le naira,Le franc CFA BCEAO,3,"Le Burkina Faso utilise le franc CFA de l’UEMOA, émis par la BCEAO.",false,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
